region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,29.0,0,29.0,0,311.0,18
1,-1,0,29.0,0,311.0,18,309.0,69
2,0,1,311.0,18,309.0,69,297.0,37
53,51,52,270.0,1711,224.0,97,224.0,96
99,97,98,295.0,2958,224.0,91,111.0,28389
100,98,99,295.0,3049,111.0,28389,240.0,184
120,118,119,270.0,3950,224.0,97,295.0,45
128,126,127,295.0,3663,293.0,90,240.0,90
131,129,130,295.0,3935,224.0,91,111.0,9011
132,130,131,295.0,4026,111.0,9011,206.0,77
166,164,165,111.0,158613,240.0,180,224.0,208
207,205,206,204.0,14032,224.0,209,270.0,52
