region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,27.0,0,27.0,0,369.0,11441
5,3,4,369.0,45766,361.0,11441,381.0,5856
8,6,7,381.0,31715,379.0,25860,351.0,5006
11,9,10,351.0,12239,219.0,1051,361.0,11232
23,21,22,318.0,35048,306.0,11133,310.0,11133
34,32,33,349.0,25321,347.0,7233,349.0,8598
37,35,36,370.0,31296,318.0,3359,237.0,3982
56,54,55,367.0,308400,357.0,11441,351.0,1947
59,57,58,351.0,52868,323.0,1,365.0,6304
62,60,61,370.0,64831,244.0,1843,223.0,10114
63,61,62,219.0,51068,223.0,10114,361.0,6144
69,67,68,369.0,379590,357.0,11442,310.0,8500
84,82,83,351.0,80416,219.0,2340,371.0,12558
93,91,92,369.0,508243,361.0,11441,318.0,6145
107,105,106,381.0,87422,379.0,25859,141.0,1
