region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
638,636,637,435.0,133449,456.0,3753,380.0,1568
777,775,776,563.0,163591,562.0,1678,534.0,26
1235,1233,1234,586.0,276657,581.0,4033,563.0,1661
1546,1544,1545,326.0,322342,298.0,276,586.0,2250
1726,1724,1725,383.0,358621,355.0,1580,404.0,3441
1931,1929,1930,329.0,400472,323.0,1580,183.0,1
1979,1977,1978,494.0,387831,463.0,1922,438.0,1112
2218,2216,2217,494.0,434002,484.0,3177,438.0,560
2412,2410,2411,350.0,501686,586.0,494,581.0,1917
2581,2579,2580,563.0,539757,562.0,1678,537.0,1026
2651,2649,2650,332.0,553473,298.0,2241,586.0,3858
2724,2722,2723,312.0,567829,350.0,1997,586.0,519
3278,3276,3277,298.0,682690,586.0,3907,563.0,529
3830,3828,3829,185.0,208,586.0,2127,581.0,3912
3878,3876,3877,432.0,809328,409.0,1580,386.0,902
3902,3900,3901,329.0,813315,326.0,1580,298.0,2362
3978,3976,3977,586.0,885354,581.0,2068,565.0,1139
4006,4004,4005,438.0,834844,432.0,1580,173.0,1
4301,4299,4300,438.0,897006,432.0,1580,383.0,169
4385,4383,4384,563.0,915923,562.0,1678,534.0,9
4691,4689,4690,383.0,978692,404.0,407,323.0,1135
4940,4938,4939,539.0,16642,528.0,27,492.0,995
5145,5143,5144,494.0,1005062,488.0,1653,463.0,3383
5163,5161,5162,494.0,1007978,488.0,1652,463.0,710
5273,5271,5272,494.0,1028779,488.0,1652,505.0,34
5945,5943,5944,329.0,1238933,319.0,1580,350.0,1937
6332,6330,6331,329.0,1320224,323.0,1580,298.0,367
6744,6742,6743,537.0,1317170,537.0,1551,492.0,457
6900,6898,6899,383.0,1439375,355.0,1580,332.0,537
