region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
9,7,8,310.0,1117,299.0,1486,163.0,1
21,19,20,489.0,8973,436.0,14,399.0,12
121,119,120,484.0,49739,436.0,30,359.0,76
167,165,166,337.0,63841,318.0,1498,310.0,1479
294,292,293,359.0,113448,318.0,1507,337.0,1136
320,318,319,310.0,122470,467.0,1109,420.0,1
339,337,338,310.0,128716,318.0,1486,467.0,1314
453,451,452,359.0,173813,318.0,1506,170.0,1
500,498,499,310.0,192069,467.0,2949,391.0,1783
501,499,500,467.0,195149,391.0,1783,359.0,948
569,567,568,310.0,217648,293.0,507,467.0,3664
656,654,655,337.0,251817,318.0,1498,310.0,1102
669,667,668,310.0,256315,489.0,520,436.0,12
671,669,670,436.0,4166,404.0,47,359.0,1338
748,746,747,310.0,285761,303.0,1486,489.0,3648
793,791,792,359.0,305289,318.0,1506,337.0,778
859,857,858,310.0,329781,484.0,3793,436.0,43
980,978,979,467.0,377856,420.0,1,359.0,543
1069,1067,1068,310.0,410980,467.0,2062,391.0,910
1070,1068,1069,467.0,413370,391.0,910,359.0,749
1108,1106,1107,310.0,424960,318.0,1487,467.0,2472
1249,1247,1248,293.0,478060,457.0,1,391.0,2721
1428,1426,1427,310.0,548693,369.0,4,436.0,30
1484,1482,1483,337.0,569766,322.0,1498,175.0,1
1529,1527,1528,478.0,154,436.0,46,359.0,298
1537,1535,1536,310.0,589739,299.0,1487,467.0,156
1644,1642,1643,337.0,631635,318.0,1498,310.0,370
1804,1802,1803,337.0,693505,326.0,1497,310.0,731
1899,1897,1898,373.0,762,391.0,2653,359.0,1146
1941,1939,1940,359.0,746974,318.0,1506,337.0,405
