region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
49,47,48,361.0,1435,537.0,259,519.0,2416
135,133,134,377.0,3975,377.0,90,361.0,63
152,150,151,537.0,91508,466.0,1518,377.0,66
198,196,197,377.0,5797,410.0,1851,365.0,520
270,268,269,361.0,7860,361.0,91,537.0,604
296,294,295,365.0,179020,346.0,3190,523.0,1
317,315,316,537.0,192156,466.0,3218,377.0,78
426,424,425,381.0,257687,377.0,90,359.0,1
442,440,441,365.0,267727,553.0,2401,519.0,1324
545,543,544,537.0,329093,490.0,55,377.0,54
574,572,573,361.0,16755,361.0,91,346.0,3041
589,587,588,539.0,353981,519.0,2528,381.0,387
591,589,590,381.0,357879,377.0,90,361.0,12
640,638,639,537.0,386152,490.0,26,381.0,889
642,640,641,381.0,389133,381.0,1851,365.0,764
706,704,705,377.0,20742,377.0,90,361.0,91
708,706,707,361.0,20737,361.0,92,537.0,3052
807,805,806,371.0,23677,410.0,1851,365.0,1018
839,837,838,381.0,509093,377.0,90,356.0,76
974,972,973,361.0,28520,356.0,90,537.0,1375
1013,1011,1012,361.0,29724,537.0,1135,517.0,3715
1018,1016,1017,361.0,29787,400.0,1890,553.0,1816
1026,1024,1025,361.0,30124,537.0,2793,461.0,789
1261,1259,1260,553.0,813627,519.0,1415,376.0,6
1399,1397,1398,365.0,847246,361.0,93,537.0,2182
1432,1430,1431,346.0,867150,537.0,3722,454.0,3029
1438,1436,1437,361.0,42199,537.0,1943,490.0,34
1481,1479,1480,361.0,43374,358.0,91,553.0,3830
1572,1570,1571,537.0,950572,517.0,3669,377.0,33
